i0,if,y0,z0,yf,zf
44,26,2.5,-14.789473684210527,1.5,-12.68421052631579
44,27,2.5,-14.789473684210527,1.5,-11.631578947368421
44,29,2.5,-14.789473684210527,1.5,-9.526315789473685
44,41,2.5,-14.789473684210527,2.5,-17.94736842105263
44,42,2.5,-14.789473684210527,2.5,-16.894736842105264
44,43,2.5,-14.789473684210527,2.5,-15.842105263157894
44,45,2.5,-14.789473684210527,2.5,-13.736842105263158
44,60,2.5,-14.789473684210527,3.5,-19.0
44,61,2.5,-14.789473684210527,3.5,-17.94736842105263
45,27,2.5,-13.736842105263158,1.5,-11.631578947368421
45,63,2.5,-13.736842105263158,3.5,-15.842105263157894
45,66,2.5,-13.736842105263158,3.5,-12.68421052631579
45,67,2.5,-13.736842105263158,3.5,-11.631578947368421
45,68,2.5,-13.736842105263158,3.5,-10.578947368421053
45,82,2.5,-13.736842105263158,4.5,-16.894736842105264
46,24,2.5,-12.68421052631579,1.5,-14.789473684210527
46,25,2.5,-12.68421052631579,1.5,-13.736842105263158
46,45,2.5,-12.68421052631579,2.5,-13.736842105263158
46,66,2.5,-12.68421052631579,3.5,-12.68421052631579
46,67,2.5,-12.68421052631579,3.5,-11.631578947368421
46,85,2.5,-12.68421052631579,4.5,-13.736842105263158
46,86,2.5,-12.68421052631579,4.5,-12.68421052631579
47,2,2.5,-11.631578947368421,0.5,-16.894736842105264
47,6,2.5,-11.631578947368421,0.5,-12.68421052631579
47,26,2.5,-11.631578947368421,1.5,-12.68421052631579
47,27,2.5,-11.631578947368421,1.5,-11.631578947368421
47,29,2.5,-11.631578947368421,1.5,-9.526315789473685
47,30,2.5,-11.631578947368421,1.5,-8.473684210526317
47,44,2.5,-11.631578947368421,2.5,-14.789473684210527
47,69,2.5,-11.631578947368421,3.5,-9.526315789473685
47,71,2.5,-11.631578947368421,3.5,-7.421052631578949
47,84,2.5,-11.631578947368421,4.5,-14.789473684210527
47,91,2.5,-11.631578947368421,4.5,-7.421052631578949
47,92,2.5,-11.631578947368421,4.5,-6.368421052631579
48,5,2.5,-10.578947368421053,0.5,-13.736842105263158
48,12,2.5,-10.578947368421053,0.5,-6.368421052631579
48,23,2.5,-10.578947368421053,1.5,-15.842105263157894
48,24,2.5,-10.578947368421053,1.5,-14.789473684210527
48,25,2.5,-10.578947368421053,1.5,-13.736842105263158
48,29,2.5,-10.578947368421053,1.5,-9.526315789473685
48,33,2.5,-10.578947368421053,1.5,-5.315789473684211
48,69,2.5,-10.578947368421053,3.5,-9.526315789473685
48,83,2.5,-10.578947368421053,4.5,-15.842105263157894
48,90,2.5,-10.578947368421053,4.5,-8.473684210526317
49,14,2.5,-9.526315789473685,0.5,-4.2631578947368425
49,24,2.5,-9.526315789473685,1.5,-14.789473684210527
49,25,2.5,-9.526315789473685,1.5,-13.736842105263158
49,28,2.5,-9.526315789473685,1.5,-10.578947368421053
49,47,2.5,-9.526315789473685,2.5,-11.631578947368421
49,48,2.5,-9.526315789473685,2.5,-10.578947368421053
49,51,2.5,-9.526315789473685,2.5,-7.421052631578949
49,91,2.5,-9.526315789473685,4.5,-7.421052631578949
50,13,2.5,-8.473684210526317,0.5,-5.315789473684211
50,28,2.5,-8.473684210526317,1.5,-10.578947368421053
50,86,2.5,-8.473684210526317,4.5,-12.68421052631579
50,89,2.5,-8.473684210526317,4.5,-9.526315789473685
50,90,2.5,-8.473684210526317,4.5,-8.473684210526317
51,50,2.5,-7.421052631578949,2.5,-8.473684210526317
51,54,2.5,-7.421052631578949,2.5,-4.2631578947368425
51,69,2.5,-7.421052631578949,3.5,-9.526315789473685
51,70,2.5,-7.421052631578949,3.5,-8.473684210526317
51,87,2.5,-7.421052631578949,4.5,-11.631578947368421
51,92,2.5,-7.421052631578949,4.5,-6.368421052631579
51,93,2.5,-7.421052631578949,4.5,-5.315789473684211
52,12,2.5,-6.368421052631579,0.5,-6.368421052631579
52,54,2.5,-6.368421052631579,2.5,-4.2631578947368425
52,69,2.5,-6.368421052631579,3.5,-9.526315789473685
52,70,2.5,-6.368421052631579,3.5,-8.473684210526317
53,36,2.5,-5.315789473684211,1.5,-2.157894736842106
53,51,2.5,-5.315789473684211,2.5,-7.421052631578949
53,55,2.5,-5.315789473684211,2.5,-3.2105263157894743
53,68,2.5,-5.315789473684211,3.5,-10.578947368421053
53,72,2.5,-5.315789473684211,3.5,-6.368421052631579
53,91,2.5,-5.315789473684211,4.5,-7.421052631578949
53,92,2.5,-5.315789473684211,4.5,-6.368421052631579
53,95,2.5,-5.315789473684211,4.5,-3.2105263157894743
54,91,2.5,-4.2631578947368425,4.5,-7.421052631578949
60,20,3.5,-19.0,1.5,-19.0
60,23,3.5,-19.0,1.5,-15.842105263157894
60,62,3.5,-19.0,3.5,-16.894736842105264
60,84,3.5,-19.0,4.5,-14.789473684210527
61,2,3.5,-17.94736842105263,0.5,-16.894736842105264
61,4,3.5,-17.94736842105263,0.5,-14.789473684210527
61,21,3.5,-17.94736842105263,1.5,-17.94736842105263
61,42,3.5,-17.94736842105263,2.5,-16.894736842105264
61,43,3.5,-17.94736842105263,2.5,-15.842105263157894
61,60,3.5,-17.94736842105263,3.5,-19.0
62,6,3.5,-16.894736842105264,0.5,-12.68421052631579
