i0,if,y0,z0,yf,zf
42,7,2.5,-16.894736842105264,0.5,-11.631578947368421
42,16,2.5,-16.894736842105264,0.5,-2.157894736842106
42,19,2.5,-16.894736842105264,0.5,1.0
42,27,2.5,-16.894736842105264,1.5,-11.631578947368421
42,28,2.5,-16.894736842105264,1.5,-10.578947368421053
42,37,2.5,-16.894736842105264,1.5,-1.1052631578947363
42,40,2.5,-16.894736842105264,2.5,-19.0
42,44,2.5,-16.894736842105264,2.5,-14.789473684210527
42,50,2.5,-16.894736842105264,2.5,-8.473684210526317
42,52,2.5,-16.894736842105264,2.5,-6.368421052631579
42,67,2.5,-16.894736842105264,3.5,-11.631578947368421
42,69,2.5,-16.894736842105264,3.5,-9.526315789473685
42,76,2.5,-16.894736842105264,3.5,-2.157894736842106
43,7,2.5,-15.842105263157894,0.5,-11.631578947368421
43,8,2.5,-15.842105263157894,0.5,-10.578947368421053
43,23,2.5,-15.842105263157894,1.5,-15.842105263157894
43,32,2.5,-15.842105263157894,1.5,-6.368421052631579
43,35,2.5,-15.842105263157894,1.5,-3.2105263157894743
43,48,2.5,-15.842105263157894,2.5,-10.578947368421053
43,50,2.5,-15.842105263157894,2.5,-8.473684210526317
43,59,2.5,-15.842105263157894,2.5,1.0
43,65,2.5,-15.842105263157894,3.5,-13.736842105263158
43,73,2.5,-15.842105263157894,3.5,-5.315789473684211
43,75,2.5,-15.842105263157894,3.5,-3.2105263157894743
43,77,2.5,-15.842105263157894,3.5,-1.1052631578947363
44,2,2.5,-14.789473684210527,0.5,-16.894736842105264
44,5,2.5,-14.789473684210527,0.5,-13.736842105263158
44,22,2.5,-14.789473684210527,1.5,-16.894736842105264
44,24,2.5,-14.789473684210527,1.5,-14.789473684210527
44,26,2.5,-14.789473684210527,1.5,-12.68421052631579
44,27,2.5,-14.789473684210527,1.5,-11.631578947368421
44,29,2.5,-14.789473684210527,1.5,-9.526315789473685
44,41,2.5,-14.789473684210527,2.5,-17.94736842105263
44,42,2.5,-14.789473684210527,2.5,-16.894736842105264
44,43,2.5,-14.789473684210527,2.5,-15.842105263157894
44,45,2.5,-14.789473684210527,2.5,-13.736842105263158
44,60,2.5,-14.789473684210527,3.5,-19.0
44,61,2.5,-14.789473684210527,3.5,-17.94736842105263
44,78,2.5,-14.789473684210527,3.5,-0.05263157894736992
45,27,2.5,-13.736842105263158,1.5,-11.631578947368421
45,63,2.5,-13.736842105263158,3.5,-15.842105263157894
45,66,2.5,-13.736842105263158,3.5,-12.68421052631579
45,67,2.5,-13.736842105263158,3.5,-11.631578947368421
45,68,2.5,-13.736842105263158,3.5,-10.578947368421053
45,71,2.5,-13.736842105263158,3.5,-7.421052631578949
45,76,2.5,-13.736842105263158,3.5,-2.157894736842106
45,82,2.5,-13.736842105263158,4.5,-16.894736842105264
45,99,2.5,-13.736842105263158,4.5,1.0
46,13,2.5,-12.68421052631579,0.5,-5.315789473684211
46,24,2.5,-12.68421052631579,1.5,-14.789473684210527
46,25,2.5,-12.68421052631579,1.5,-13.736842105263158
46,40,2.5,-12.68421052631579,2.5,-19.0
46,45,2.5,-12.68421052631579,2.5,-13.736842105263158
46,54,2.5,-12.68421052631579,2.5,-4.2631578947368425
46,56,2.5,-12.68421052631579,2.5,-2.157894736842106
46,66,2.5,-12.68421052631579,3.5,-12.68421052631579
46,67,2.5,-12.68421052631579,3.5,-11.631578947368421
46,73,2.5,-12.68421052631579,3.5,-5.315789473684211
46,75,2.5,-12.68421052631579,3.5,-3.2105263157894743
46,78,2.5,-12.68421052631579,3.5,-0.05263157894736992
46,85,2.5,-12.68421052631579,4.5,-13.736842105263158
46,86,2.5,-12.68421052631579,4.5,-12.68421052631579
47,2,2.5,-11.631578947368421,0.5,-16.894736842105264
47,6,2.5,-11.631578947368421,0.5,-12.68421052631579
47,26,2.5,-11.631578947368421,1.5,-12.68421052631579
47,27,2.5,-11.631578947368421,1.5,-11.631578947368421
47,29,2.5,-11.631578947368421,1.5,-9.526315789473685
47,30,2.5,-11.631578947368421,1.5,-8.473684210526317
47,37,2.5,-11.631578947368421,1.5,-1.1052631578947363
47,44,2.5,-11.631578947368421,2.5,-14.789473684210527
47,69,2.5,-11.631578947368421,3.5,-9.526315789473685
47,71,2.5,-11.631578947368421,3.5,-7.421052631578949
47,81,2.5,-11.631578947368421,4.5,-17.94736842105263
